cbo,cargo,carga_horaria,piso_22,media_22,mediana_22,teto_22,hora_22,piso_23,media_23,mediana_23,teto_23,hora_23
231310,professor de artes do ensino fundamental,28,3032,3117,2400,7178,22,"3.143,89 ","3.232,16 ","2.536,00 ","7.531,20 ","23,12"
262705,Músico Interprete Cantor,40,2401,2468,2100,5129,12,"2.362,16 ","2.428,49 ","2.046,00 ","5.113,78 ","12,35"
262615,Músico Regente,33,2494,2564,2200,5359,15,"2.547,18 ","2.618,70 ","2.200,00 ","5.511,91 ","16,09"
226305,Musicoterapeuta,30,2903,2985,2757,5744,19,"2.864,90 ","2.945,34 ","2.700,00 ","5.705,96 ","19,79"
262620,Musicólogo,33,2189,2251,2000,4366,13,"2.164,78 ","2.225,56 ","2.000,00 ","4.277,71 ","13,21"
262710,Músico Intérprete Instrumentista,36,3060,3146,2066,7885,17,"3.022,97 ","3.107,85 ","2.080,00 ","7.716,14 ","16,95"
262110,Produtor Cinematográfico,42,3604,3705,2556,9042,17,"3.704,96 ","3.808,98 ","2.800,00 ","9.297,97 ","18,30"
262120,Produtor de Teatro,41,2690,2765,2648,5484,13,"2.755,08 ","2.832,44 ","2.400,00 ","5.807,44 ","13,94"
262830,Professor de Dança,34,3346,3440,2310,8527,20,"3.346,24 ","3.440,19 ","2.310,00 ","8.527,90 ","20,24"
262105,Produtor Cultural,42,3207,3297,2461,7851,15,"3.080,70 ","3.167,20 ","2.300,00 ","7.484,59 ","15,20"
252105,Gestor Público,42,4350,4472,3430,10473,21,"4.380,69 ","4.503,69 ","3.453,00 ","10.550,21 ","21,26"
252105,Administrador de Recursos Humanos ,42,4329,4450,3410,10417,21,"4.380,69 ","4.503,69 ","3.453,00 ","10.550,21 ","21,26"
252605,Gestor em Segurança,42,6563,6747,4864,16885,31,"6.770,38 ","6.960,48 ","4.905,50 ","17.596,95 ","32,77"
261205,Gestor de Informação,39,3824,3931,3114,9123,19,"3.874,72 ","3.983,51 ","3.158,00 ","9.260,65 ","20,21"
261205,Biblioteconomista ,40,3817,3925,3159,9060,19,"3.874,72 ","3.983,51 ","3.158,00 ","9.260,65 ","20,21"
354605,Corretor de Imóveis,44,1919,1972,1619,3897,9,"1.927,25 ","1.981,36 ","1.650,00 ","3.898,52 ","9,10"
142705,Gestor de Manutenção,43,7758,7976,5857,20191,37,"7.799,15 ","8.018,13 ","6.000,00 ","20.222,58 ","37,36"
271110,Tecnólogo em Gastronomia,42,2527,2598,2000,5702,12,"2.546,79 ","2.618,30 ","2.000,00 ","5.781,67 ","12,57"
342125,Tecnólogo em Logística de Transporte,44,2300,2364,1900,4861,10,"2.383,52 ","2.450,44 ","2.000,00 ","5.030,29 ","11,25"
214010,Tecnólogo em Gestão Ambiental ,43,3952,4063,3084,9468,19,"4.015,37 ","4.128,11 ","3.234,00 ","9.466,37 ","19,33"
214010,Tecnólogo em Saneamento Ambiental ,43,3952,4063,3084,9468,19,"4.015,37 ","4.128,11 ","3.234,00 ","9.466,37 ","19,33"
214370,Tecnólogo em Telemática ,42,5686,5846,4000,15547,27,"5.783,32 ","5.945,70 ","4.000,00 ","15.903,85 ","28,36"
142120,Tecnólogo em Gestão de Cooperativas ,42,4741,4875,3675,11310,23,"4.712,51 ","4.844,82 ","3.675,00 ","11.220,74 ","22,91"
142120,Tecnólogo em Gestão Administrativo-Financeira ,42,4741,4875,3675,11310,23,"4.712,51 ","4.844,82 ","3.675,00 ","11.220,74 ","22,91"
202120,Tecnólogo em Automação Industrial ,43,3273,3365,2746,7272,15,"3.272,87 ","3.364,76 ","2.763,00 ","7.267,48 ","15,62"
141505,Administrador de Empresas de Hospedagem ,43,3503,3601,2424,8947,16,"3.616,48 ","3.718,02 ","2.440,50 ","9.325,28 ","17,22"
352310,Inspetor Técnico de Qualidade ,43,2814,2893,2356,6365,13,"2.868,61 ","2.949,16 ","2.400,00 ","6.536,85 ","13,60"
318505,Desenhista Detalhista na Arquitetura ,43,2458,2527,2030,5208,11,"2.458,74 ","2.527,78 ","2.082,00 ","5.134,87 ","11,79"
262420,Desenhista de Produto,42,5428,5580,3943,14137,26,"5.368,81 ","5.519,56 ","3.810,00 ","13.988,28 ","26,06"
262420,Tecnólogo em Design de Jóias ,42,5428,5580,3943,14137,26,"5.368,81 ","5.519,56 ","3.810,00 ","13.988,28 ","26,06"
262410,Desenhista de Páginas da Internet (web Designer) ,43,3309,3402,2341,8302,15,"3.314,28 ","3.407,34 ","2.383,00 ","8.288,49 ","16,00"
262425,Desenhista Industrial de Produto de Moda (Designer de Moda) ,43,3414,3510,2600,8073,16,"3.453,90 ","3.550,88 ","2.700,00 ","8.150,98 ","16,42"
262415,Conservador-Restaurador de Bens Culturais ,42,2532,2603,2030,5599,12,"2.553,41 ","2.625,10 ","2.221,00 ","5.447,17 ","12,50"
325005,Tecnólogo em Enologia ,43,3106,3193,2996,6362,14,"3.106,86 ","3.194,10 ","2.987,50 ","6.305,98 ","14,85"
222215,Tecnólogo em Alimentos ,43,2940,3022,2300,6979,14,"3.244,71 ","3.335,81 ","2.400,00 ","7.989,23 ","15,52"
222215,Tecnólogo em Laticínios ,43,2940,3022,2300,6979,14,"3.244,71 ","3.335,81 ","2.400,00 ","7.989,23 ","15,52"
214280,Tecnólogo em Construçãode Edifícios ,43,3833,3940,3000,8806,18,"3.784,84 ","3.891,11 ","3.000,00 ","8.666,89 ","18,05"
214365,Tecnólogo em Eletrônica ,43,2455,2524,2000,5486,11,"2.523,20 ","2.594,04 ","1.980,00 ","5.743,48 ","12,01"
860115,Contramestre produção de Energia Elétrica ,43,3945,4056,3227,8816,18,"4.006,58 ","4.119,08 ","3.309,00 ","8.874,65 ","18,94"
213215,Tecnólogo em Processos Químicos ,42,3005,3089,2500,6502,14,"3.018,37 ","3.103,12 ","2.554,50 ","6.453,16 ","14,63"
214615,Tecnólogo em Processos Metalúrgicos ,42,4808,4943,3300,12791,23,"4.710,42 ","4.842,68 ","3.350,00 ","12.031,16 ","22,74"
212405,Analista de Sistemas ,41,6713,6901,6027,15434,33,"6.759,73 ","7.000,28 ","6.161,00 ","15.651,86 ","33,83"
212405,Tecnólogo em Sistemas Para Internet ,41,6713,6901,6027,15434,33,"6.759,73 ","7.000,28 ","6.161,00 ","15.651,86 ","33,83"
131215,Tecnólogo em Gestão Hospitalar ,42,4461,4587,4000,9840,21,"4.916,71 ","5.054,76 ","4.279,00 ","11.228,52 ","24,51"
142535,Tecnólogo em Gestão da Tecnologia da Informação,42,5830,5994,4000,15812,28,"5.853,04 ","6.017,38 ","4.025,50 ","15.741,80 ","28,75"
212310,Tecnólogo em Redes de Computadores ,42,5151,5296,4000,12987,25,"5.119,78 ","5.263,53 ","4.000,00 ","12.931,78 ","25,24"
203105,Cientista de Dados (Data Scientist) ,41,8052,8278,7233,17625,40,"8.165,35 ","8.394,62 ","7.500,00 ","17.761,81 ","40,96"
233225,Instrutor de Informática ,40,2528,2599,1800,5899,12,"2.615,05 ","2.688,47 ","1.861,00 ","6.142,77 ","13,35"
351605,Supervisor de Segurança do Trabalho ,43,3035,3120,2950,5802,14,"3.050,53 ","3.136,19 ","3.000,00 ","5.740,99 ","14,47"
214745,Tecnólogo em Petróleo e Gás ,42,10491,10786,7500,27368,51,"10.127,75 ","10.412,11 ","6.000,00 ","28.842,53 ","49,93"
