ano,uf,municipio,pib_pc
2020,RO,alta floresta d'oeste," 25.091,18 "
2020,RO,ariquemes," 25.730,20 "
2020,RO,cabixi," 32.226,25 "
2020,RO,cacoal," 29.331,29 "
2020,RO,cerejeiras," 37.069,25 "
2020,RO,colorado do oeste," 23.605,94 "
2020,RO,corumbiara," 37.171,83 "
2020,RO,costa marques," 13.936,50 "
2020,RO,espigão d'oeste," 20.380,20 "
2020,RO,guajará-mirim," 21.148,43 "
2020,RO,jaru," 32.256,26 "
2020,RO,ji-paraná," 31.210,35 "
2020,RO,machadinho d'oeste," 17.136,50 "
2020,RO,nova brasilândia d'oeste," 19.687,14 "
2020,RO,ouro preto do oeste," 24.769,65 "
2020,RO,pimenta bueno," 36.909,05 "
2020,RO,porto velho," 36.059,36 "
2020,RO,presidente médici," 24.996,99 "
2020,RO,rio crespo," 35.115,80 "
2020,RO,rolim de moura," 25.229,33 "
2020,RO,santa luzia d'oeste," 25.223,38 "
2020,RO,vilhena," 30.847,95 "
2020,RO,são miguel do guaporé," 31.663,33 "
2020,RO,nova mamoré," 19.173,98 "
2020,RO,alvorada d'oeste," 20.525,54 "
2020,RO,alto alegre dos parecis," 24.484,67 "
2020,RO,alto paraíso," 18.143,32 "
2020,RO,buritis," 19.368,23 "
2020,RO,novo horizonte do oeste," 22.223,57 "
2020,RO,cacaulândia," 26.984,16 "
2020,RO,campo novo de rondônia," 23.267,45 "
2020,RO,candeias do jamari," 20.560,09 "
2020,RO,castanheiras," 26.921,80 "
2020,RO,chupinguaia," 32.677,85 "
2020,RO,cujubim," 16.493,48 "
2020,RO,governador jorge teixeira," 26.942,95 "
2020,RO,itapuã do oeste," 18.116,96 "
2020,RO,ministro andreazza," 23.529,88 "
2020,RO,mirante da serra," 21.417,31 "
2020,RO,monte negro," 21.300,12 "
2020,RO,nova união," 18.685,84 "
2020,RO,parecis," 19.495,63 "
2020,RO,pimenteiras do oeste," 69.296,61 "
2020,RO,primavera de rondônia," 23.949,20 "
2020,RO,são felipe d'oeste," 20.192,81 "
2020,RO,são francisco do guaporé," 19.234,60 "
2020,RO,seringueiras," 21.146,51 "
2020,RO,teixeirópolis," 23.001,25 "
2020,RO,theobroma," 20.493,15 "
2020,RO,urupá," 20.209,46 "
2020,RO,vale do anari," 15.885,58 "
2020,RO,vale do paraíso," 24.228,97 "
2020,AC,acrelândia," 19.525,15 "
2020,AC,assis brasil," 12.864,39 "
2020,AC,brasiléia," 17.981,49 "
2020,AC,bujari," 17.640,84 "
2020,AC,capixaba," 12.101,74 "
2020,AC,cruzeiro do sul," 17.024,21 "
2020,AC,epitaciolândia," 23.156,18 "
2020,AC,feijó," 11.263,93 "
2020,AC,jordão," 10.020,96 "
2020,AC,mâncio lima," 11.955,02 "
2020,AC,manoel urbano," 14.342,93 "
2020,AC,marechal thaumaturgo," 11.116,99 "
2020,AC,plácido de castro," 13.377,82 "
2020,AC,porto walter," 10.640,19 "
2020,AC,rio branco," 23.171,69 "
2020,AC,rodrigues alves," 10.474,43 "
2020,AC,santa rosa do purus," 12.525,97 "
2020,AC,senador guiomard," 15.389,06 "
2020,AC,sena madureira," 12.490,26 "
2020,AC,tarauacá," 12.046,86 "
2020,AC,xapuri," 14.903,31 "
2020,AC,porto acre," 12.948,19 "
2020,AM,alvarães," 11.995,57 "
2020,AM,amaturá," 8.689,30 "
2020,AM,anamã," 9.310,13 "
2020,AM,anori," 10.017,54 "
2020,AM,apuí," 12.170,22 "
2020,AM,atalaia do norte," 8.469,49 "
2020,AM,autazes," 11.092,32 "
2020,AM,barcelos," 7.544,40 "
2020,AM,barreirinha," 9.652,53 "
2020,AM,benjamin constant," 7.951,34 "
2020,AM,beruri," 9.068,84 "
2020,AM,boa vista do ramos," 8.229,50 "
2020,AM,boca do acre," 13.740,43 "
2020,AM,borba," 8.659,19 "
2020,AM,caapiranga," 12.845,71 "
2020,AM,canutama," 8.440,09 "
2020,AM,carauari," 12.591,08 "
2020,AM,careiro," 9.480,38 "
2020,AM,careiro da várzea," 12.129,31 "
2020,AM,coari," 22.387,52 "
2020,AM,codajás," 17.107,74 "
2020,AM,eirunepé," 14.089,95 "
2020,AM,envira," 8.738,08 "
2020,AM,fonte boa," 11.589,68 "
2020,AM,guajará," 8.703,05 "
2020,AM,humaitá," 13.907,15 "
2020,AM,ipixuna," 6.363,46 "
2020,AM,iranduba," 14.855,29 "
2020,AM,itacoatiara," 22.140,55 "
2020,AM,itamarati," 13.758,73 "
2020,AM,itapiranga," 14.541,96 "
2020,AM,japurá," 28.047,08 "
2020,AM,juruá," 8.093,56 "
2020,AM,jutaí," 18.207,98 "
2020,AM,lábrea," 11.856,93 "
2020,AM,manacapuru," 14.543,88 "
2020,AM,manaquiri," 8.305,92 "
2020,AM,manaus," 41.345,11 "
2020,AM,manicoré," 10.981,24 "
2020,AM,maraã," 8.150,30 "
2020,AM,maués," 8.703,05 "
2020,AM,nhamundá," 8.660,31 "
2020,AM,nova olinda do norte," 7.730,57 "
2020,AM,novo airão," 8.750,36 "
2020,AM,novo aripuanã," 8.431,61 "
2020,AM,parintins," 11.448,73 "
2020,AM,pauini," 8.970,30 "
2020,AM,presidente figueiredo," 22.304,99 "
2020,AM,rio preto da eva," 10.982,88 "
2020,AM,santa isabel do rio negro," 6.079,84 "
2020,AM,santo antônio do içá," 9.822,89 "
2020,AM,são gabriel da cachoeira," 8.133,70 "
2020,AM,são paulo de olivença," 7.539,80 "
2020,AM,são sebastião do uatumã," 8.913,14 "
2020,AM,silves," 14.497,22 "
2020,AM,tabatinga," 9.724,24 "
2020,AM,tapauá," 12.857,93 "
2020,AM,tefé," 15.811,86 "
2020,AM,tonantins," 8.395,52 "
2020,AM,uarini," 14.985,24 "
2020,AM,urucará," 19.023,02 "
2020,AM,urucurituba," 8.301,07 "
2020,RR,amajari," 15.021,27 "
2020,RR,alto alegre," 26.637,07 "
2020,RR,boa vista," 28.180,99 "
2020,RR,bonfim," 33.246,22 "
2020,RR,cantá," 17.295,69 "
2020,RR,caracaraí," 18.420,70 "
2020,RR,caroebe," 21.925,94 "
2020,RR,iracema," 14.820,05 "
2020,RR,mucajaí," 19.185,75 "
2020,RR,normandia," 16.892,62 "
2020,RR,pacaraima," 15.358,91 "
2020,RR,rorainópolis," 20.688,53 "
2020,RR,são joão da baliza," 31.400,66 "
2020,RR,são luiz," 20.364,42 "
2020,RR,uiramutã," 11.985,64 "
2020,PA,abaetetuba," 10.413,48 "
2020,PA,abel figueiredo," 12.780,87 "
2020,PA,acará," 15.840,52 "
2020,PA,afuá," 11.075,99 "
2020,PA,água azul do norte," 19.236,57 "
2020,PA,alenquer," 12.114,02 "
2020,PA,almeirim," 18.417,18 "
2020,PA,altamira," 22.044,21 "
2020,PA,anajás," 7.703,25 "
2020,PA,ananindeua," 15.201,46 "
2020,PA,anapu," 18.232,72 "
2020,PA,augusto corrêa," 7.874,67 "
2020,PA,aurora do pará," 8.419,97 "
2020,PA,aveiro," 8.461,75 "
2020,PA,bagre," 7.433,19 "
2020,PA,baião," 12.704,23 "
2020,PA,bannach," 30.851,86 "
2020,PA,barcarena," 58.550,40 "
2020,PA,belém," 20.562,10 "
2020,PA,belterra," 10.460,11 "
2020,PA,benevides," 26.267,84 "
2020,PA,bom jesus do tocantins," 12.141,30 "
2020,PA,bonito," 11.473,87 "
2020,PA,bragança," 10.682,63 "
2020,PA,brasil novo," 21.505,04 "
2020,PA,brejo grande do araguaia," 12.026,82 "
2020,PA,breu branco," 10.220,80 "
2020,PA,breves," 8.185,99 "
2020,PA,bujaru," 16.596,70 "
2020,PA,cachoeira do piriá," 6.231,85 "
2020,PA,cachoeira do arari," 9.575,58 "
2020,PA,cametá," 9.561,65 "
2020,PA,canaã dos carajás," 591.101,11 "
2020,PA,capanema," 17.673,47 "
2020,PA,capitão poço," 12.951,42 "
